Ma_TSN,Ten_TSN,type,Ma_toa_cha,Ten_toa_cha,Ma_SSN,Ten_SSN,Tinh
D01.55,"Tòa án nhân dân tỉnh Hòa Bình",OLD,NULL,NULL,D01.144,"Tòa án nhân dân tỉnh Phú Thọ","Tỉnh Hòa Bình"
D01.56,"Tòa án nhân dân tỉnh Hưng Yên",OLD,NULL,NULL,D01.136,"Tòa án nhân dân tỉnh Hưng Yên","Tỉnh Hưng Yên"
D01.57,"Tòa án nhân dân tỉnh Khánh Hòa",OLD,NULL,NULL,D01.137,"Tòa án nhân dân tỉnh Khánh Hòa","Tỉnh Khánh Hòa"
D01.58,"Tòa án nhân dân tỉnh Kiên Giang",OLD,NULL,NULL,D01.120,"Tòa án nhân dân tỉnh An Giang","Tỉnh Kiên Giang"
D01.59,"Tòa án nhân dân tỉnh Kon Tum",OLD,NULL,NULL,D01.145,"Tòa án nhân dân tỉnh Quảng Ngãi","Tỉnh Kon Tum"
D01.60,"Tòa án nhân dân tỉnh Lai Châu",OLD,NULL,NULL,D01.138,"Tòa án nhân dân tỉnh Lai Châu","Tỉnh Lai Châu"
D01.61,"Tòa án nhân dân tỉnh Lâm Đồng",OLD,NULL,NULL,D01.141,"Tòa án nhân dân tỉnh Lâm Đồng","Tỉnh Lâm Đồng"
D01.62,"Tòa án nhân dân tỉnh Lạng Sơn",OLD,NULL,NULL,D01.139,"Tòa án nhân dân tỉnh Lạng Sơn","Tỉnh Lạng Sơn"
D01.63,"Tòa án nhân dân tỉnh Lào Cai",OLD,NULL,NULL,D01.140,"Tòa án nhân dân tỉnh Lào Cai","Tỉnh Lào Cai"
D01.64,"Tòa án nhân dân tỉnh Long An",OLD,NULL,NULL,D01.149,"Tòa án nhân dân tỉnh Tây Ninh","Tỉnh Long An"
D01.65,"Tòa án nhân dân tỉnh Nam Định",OLD,NULL,NULL,D01.143,"Tòa án nhân dân tỉnh Ninh Bình","Tỉnh Nam Định"
D01.66,"Tòa án nhân dân tỉnh Nghệ An",OLD,NULL,NULL,D01.142,"Tòa án nhân dân tỉnh Nghệ An","Tỉnh Nghệ An"
D01.67,"Tòa án nhân dân tỉnh Ninh Bình",OLD,NULL,NULL,D01.143,"Tòa án nhân dân tỉnh Ninh Bình","Tỉnh Ninh Bình"
D01.68,"Tòa án nhân dân tỉnh Ninh Thuận",OLD,NULL,NULL,D01.137,"Tòa án nhân dân tỉnh Khánh Hòa","Tỉnh Ninh Thuận"
D01.69,"Tòa án nhân dân tỉnh Phú Thọ",OLD,NULL,NULL,D01.144,"Tòa án nhân dân tỉnh Phú Thọ","Tỉnh Phú Thọ"
D01.70,"Tòa án nhân dân tỉnh Phú Yên",OLD,NULL,NULL,D01.126,"Tòa án nhân dân tỉnh Đắk Lắk","Tỉnh Phú Yên"
D01.71,"Tòa án nhân dân tỉnh Quảng Bình",OLD,NULL,NULL,D01.147,"Tòa án nhân dân tỉnh Quảng Trị","Tỉnh Quảng Bình"
D01.72,"Tòa án nhân dân tỉnh Quảng Nam",OLD,NULL,NULL,D01.125,"Tòa án nhân dân thành phố Đà Nẵng","Tỉnh Quảng Nam"
D01.73,"Tòa án nhân dân tỉnh Quảng Ngãi",OLD,NULL,NULL,D01.145,"Tòa án nhân dân tỉnh Quảng Ngãi","Tỉnh Quảng Ngãi"
D01.74,"Tòa án nhân dân tỉnh Quảng Ninh",OLD,NULL,NULL,D01.146,"Tòa án nhân dân tỉnh Quảng Ninh","Tỉnh Quảng Ninh"
D01.75,"Tòa án nhân dân tỉnh Quảng Trị",OLD,NULL,NULL,D01.147,"Tòa án nhân dân tỉnh Quảng Trị","Tỉnh Quảng Trị"
D01.76,"Tòa án nhân dân tỉnh Sóc Trăng",OLD,NULL,NULL,D01.124,"Tòa án nhân dân thành phố Cần Thơ","Tỉnh Sóc Trăng"
D01.77,"Tòa án nhân dân tỉnh Sơn La",OLD,NULL,NULL,D01.148,"Tòa án nhân dân tỉnh Sơn La","Tỉnh Sơn La"
D01.78,"Tòa án nhân dân tỉnh Tây Ninh",OLD,NULL,NULL,D01.149,"Tòa án nhân dân tỉnh Tây Ninh","Tỉnh Tây Ninh"
D01.79,"Tòa án nhân dân tỉnh Thái Bình",OLD,NULL,NULL,D01.136,"Tòa án nhân dân tỉnh Hưng Yên","Tỉnh Thái Bình"
D01.80,"Tòa án nhân dân tỉnh Thái Nguyên",OLD,NULL,NULL,D01.150,"Tòa án nhân dân tỉnh Thái Nguyên","Tỉnh Thái Nguyên"
D01.81,"Tòa án nhân dân tỉnh Thanh Hóa",OLD,NULL,NULL,D01.151,"Tòa án nhân dân tỉnh Thanh Hóa","Tỉnh Thanh Hóa"
D01.82,"Tòa án nhân dân tỉnh Thừa Thiên - Huế",OLD,NULL,NULL,D01.135,"Tòa án nhân dân Thành phố Huế","Thành phố Huế"
D01.83,"Tòa án nhân dân tỉnh Tiền Giang",OLD,NULL,NULL,D01.129,"Tòa án nhân dân tỉnh Đồng Tháp","Tỉnh Tiền Giang"
D01.84,"Tòa án nhân dân tỉnh Trà Vinh",OLD,NULL,NULL,D01.153,"Tòa án nhân dân tỉnh Vĩnh Long","Tỉnh Trà Vinh"
D01.85,"Tòa án nhân dân tỉnh Tuyên Quang",OLD,NULL,NULL,D01.152,"Tòa án nhân dân tỉnh Tuyên Quang","Tỉnh Tuyên Quang"
D01.86,"Tòa án nhân dân tỉnh Vĩnh Long",OLD,NULL,NULL,D01.153,"Tòa án nhân dân tỉnh Vĩnh Long","Tỉnh Vĩnh Long"
D01.87,"Tòa án nhân dân tỉnh Vĩnh Phúc",OLD,NULL,NULL,D01.144,"Tòa án nhân dân tỉnh Phú Thọ","Tỉnh Vĩnh Phúc"
D01.88,"Tòa án nhân dân tỉnh Yên Bái",OLD,NULL,NULL,D01.140,"Tòa án nhân dân tỉnh Lào Cai","Tỉnh Yên Bái"
D01.26.01,"Tòa án nhân dân thành phố Long Xuyên, tỉnh An Giang",OLD,D01.26,"Tòa án nhân dân tỉnh An Giang",D01.120.09,"Tòa án nhân dân khu vực 9 - An Giang","Tỉnh An Giang"
D01.26.02,"Tòa án nhân dân thành phố Châu Đốc, tỉnh An Giang",OLD,D01.26,"Tòa án nhân dân tỉnh An Giang",D01.120.13,"Tòa án nhân dân khu vực 13 - An Giang","Tỉnh An Giang"
D01.26.03,"Tòa án nhân dân thị xã Tân Châu, tỉnh An Giang",OLD,D01.26,"Tòa án nhân dân tỉnh An Giang",D01.120.15,"Tòa án nhân dân khu vực 15 - An Giang","Tỉnh An Giang"
D01.26.04,"Tòa án nhân dân huyện An Phú, tỉnh An Giang",OLD,D01.26,"Tòa án nhân dân tỉnh An Giang",D01.120.15,"Tòa án nhân dân khu vực 15 - An Giang","Tỉnh An Giang"
D01.26.05,"Tòa án nhân dân huyện Châu Phú, tỉnh An Giang",OLD,D01.26,"Tòa án nhân dân tỉnh An Giang",D01.120.13,"Tòa án nhân dân khu vực 13 - An Giang","Tỉnh An Giang"
D01.26.06,"Tòa án nhân dân huyện Châu Thành, tỉnh An Giang",OLD,D01.26,"Tòa án nhân dân tỉnh An Giang",D01.120.10,"Tòa án nhân dân khu vực 10 - An Giang","Tỉnh An Giang"
D01.26.07,"Tòa án nhân dân huyện Chợ Mới, tỉnh An Giang",OLD,D01.26,"Tòa án nhân dân tỉnh An Giang",D01.120.11,"Tòa án nhân dân khu vực 11 - An Giang","Tỉnh An Giang"
D01.26.08,"Tòa án nhân dân huyện Phú Tân, tỉnh An Giang",OLD,D01.26,"Tòa án nhân dân tỉnh An Giang",D01.120.12,"Tòa án nhân dân khu vực 12 - An Giang","Tỉnh An Giang"
D01.26.09,"Tòa án nhân dân huyện Thoại Sơn, tỉnh An Giang",OLD,D01.26,"Tòa án nhân dân tỉnh An Giang",D01.120.10,"Tòa án nhân dân khu vực 10 - An Giang","Tỉnh An Giang"
D01.26.10,"Tòa án nhân dân huyện Tịnh Biên, tỉnh An Giang",OLD,D01.26,"Tòa án nhân dân tỉnh An Giang",D01.120.14,"Tòa án nhân dân khu vực 14 - An Giang","Tỉnh An Giang"
D01.26.11,"Tòa án nhân dân huyện Tri Tôn, tỉnh An Giang",OLD,D01.26,"Tòa án nhân dân tỉnh An Giang",D01.120.14,"Tòa án nhân dân khu vực 14 - An Giang","Tỉnh An Giang"
D01.27.01,"Tòa án nhân dân thành phố Bà Rịa, tỉnh Bà Rịa - Vũng Tàu",OLD,D01.27,"Tòa án nhân dân tỉnh Bà Rịa - Vũng Tàu",D01.134.12,"Tòa án nhân dân khu vực 12 - Hồ Chí Minh","Tỉnh Bà Rịa - Vũng Tàu"
D01.27.02,"Tòa án nhân dân thành phố Vũng Tàu, tỉnh Bà Rịa - Vũng Tàu",OLD,D01.27,"Tòa án nhân dân tỉnh Bà Rịa - Vũng Tàu",D01.134.11,"Tòa án nhân dân khu vực 11 - Hồ Chí Minh","Tỉnh Bà Rịa - Vũng Tàu"
D01.27.03,"Tòa án nhân dân huyện Châu Đức, tỉnh Bà Rịa - Vũng Tàu",OLD,D01.27,"Tòa án nhân dân tỉnh Bà Rịa - Vũng Tàu",D01.134.14,"Tòa án nhân dân khu vực 14 - Hồ Chí Minh","Tỉnh Bà Rịa - Vũng Tàu"
D01.27.04,"Tòa án nhân dân huyện Côn Đảo, tỉnh Bà Rịa - Vũng Tàu",OLD,D01.27,"Tòa án nhân dân tỉnh Bà Rịa - Vũng Tàu",D01.134.11,"Tòa án nhân dân khu vực 11 - Hồ Chí Minh","Tỉnh Bà Rịa - Vũng Tàu"
D01.27.07,"Tòa án nhân dân Thị xã Phú Mỹ, tỉnh Bà Rịa - Vũng Tàu",OLD,D01.27,"Tòa án nhân dân tỉnh Bà Rịa - Vũng Tàu",D01.134.12,"Tòa án nhân dân khu vực 12 - Hồ Chí Minh","Tỉnh Bà Rịa - Vũng Tàu"
D01.27.08,"Tòa án nhân dân huyện Xuyên Mộc, tỉnh Bà Rịa - Vũng Tàu",OLD,D01.27,"Tòa án nhân dân tỉnh Bà Rịa - Vũng Tàu",D01.134.14,"Tòa án nhân dân khu vực 14 - Hồ Chí Minh","Tỉnh Bà Rịa - Vũng Tàu"
D01.28.01,"Tòa án nhân dân thành phố Bắc Giang, tỉnh Bắc Giang",OLD,D01.28,"Tòa án nhân dân tỉnh Bắc Giang",D01.121.01,"Tòa án nhân dân khu vực 1 - Bắc Ninh","Tỉnh Bắc Giang"
D01.28.02,"Tòa án nhân dân huyện Hiệp Hòa, tỉnh Bắc Giang",OLD,D01.28,"Tòa án nhân dân tỉnh Bắc Giang",D01.121.02,"Tòa án nhân dân khu vực 2 - Bắc Ninh","Tỉnh Bắc Giang"
D01.28.03,"Tòa án nhân dân huyện Lạng Giang, tỉnh Bắc Giang",OLD,D01.28,"Tòa án nhân dân tỉnh Bắc Giang",D01.121.04,"Tòa án nhân dân khu vực 4 - Bắc Ninh","Tỉnh Bắc Giang"
D01.28.04,"Tòa án nhân dân huyện Lục Nam, tỉnh Bắc Giang",OLD,D01.28,"Tòa án nhân dân tỉnh Bắc Giang",D01.121.04,"Tòa án nhân dân khu vực 4 - Bắc Ninh","Tỉnh Bắc Giang"
D01.28.05,"Tòa án nhân dân huyện Lục Ngạn, tỉnh Bắc Giang",OLD,D01.28,"Tòa án nhân dân tỉnh Bắc Giang",D01.121.05,"Tòa án nhân dân khu vực 5 - Bắc Ninh","Tỉnh Bắc Giang"
D01.28.06,"Tòa án nhân dân huyện Sơn Động, tỉnh Bắc Giang",OLD,D01.28,"Tòa án nhân dân tỉnh Bắc Giang",D01.121.05,"Tòa án nhân dân khu vực 5 - Bắc Ninh","Tỉnh Bắc Giang"
D01.28.07,"Tòa án nhân dân huyện Tân Yên, tỉnh Bắc Giang",OLD,D01.28,"Tòa án nhân dân tỉnh Bắc Giang",D01.121.03,"Tòa án nhân dân khu vực 3 - Bắc Ninh","Tỉnh Bắc Giang"
D01.28.08,"Tòa án nhân dân huyện Việt Yên, tỉnh Bắc Giang",OLD,D01.28,"Tòa án nhân dân tỉnh Bắc Giang",D01.121.02,"Tòa án nhân dân khu vực 2 - Bắc Ninh","Tỉnh Bắc Giang"
D01.28.09,"Tòa án nhân dân huyện Yên Dũng, tỉnh Bắc Giang",OLD,D01.28,"Tòa án nhân dân tỉnh Bắc Giang",D01.121.01,"Tòa án nhân dân khu vực 1 - Bắc Ninh","Tỉnh Bắc Giang"
D01.28.10,"Tòa án nhân dân huyện Yên Thế, tỉnh Bắc Giang",OLD,D01.28,"Tòa án nhân dân tỉnh Bắc Giang",D01.121.03,"Tòa án nhân dân khu vực 3 - Bắc Ninh","Tỉnh Bắc Giang"
D01.29.01,"Tòa án nhân dân Thành phố Bắc Kạn, tỉnh Bắc Kạn",OLD,D01.29,"Tòa án nhân dân tỉnh Bắc Kạn",D01.150.06,"Tòa án nhân dân khu vực 6 - Thái Nguyên","Tỉnh Bắc Kạn"
D01.29.02,"Tòa án nhân dân huyện Ba Bể, tỉnh Bắc Kạn",OLD,D01.29,"Tòa án nhân dân tỉnh Bắc Kạn",D01.150.09,"Tòa án nhân dân khu vực 9 - Thái Nguyên","Tỉnh Bắc Kạn"
D01.29.03,"Tòa án nhân dân huyện Bạch Thông, tỉnh Bắc Kạn",OLD,D01.29,"Tòa án nhân dân tỉnh Bắc Kạn",D01.150.07,"Tòa án nhân dân khu vực 7 - Thái Nguyên","Tỉnh Bắc Kạn"
D01.29.04,"Tòa án nhân dân huyện Chợ Đồn, tỉnh Bắc Kạn",OLD,D01.29,"Tòa án nhân dân tỉnh Bắc Kạn",D01.150.07,"Tòa án nhân dân khu vực 7 - Thái Nguyên","Tỉnh Bắc Kạn"
D01.29.05,"Tòa án nhân dân huyện Chợ Mới, tỉnh Bắc Kạn",OLD,D01.29,"Tòa án nhân dân tỉnh Bắc Kạn",D01.150.06,"Tòa án nhân dân khu vực 6 - Thái Nguyên","Tỉnh Bắc Kạn"
D01.29.06,"Tòa án nhân dân huyện Na Rì, tỉnh Bắc Kạn",OLD,D01.29,"Tòa án nhân dân tỉnh Bắc Kạn",D01.150.08,"Tòa án nhân dân khu vực 8 - Thái Nguyên","Tỉnh Bắc Kạn"
D01.29.07,"Tòa án nhân dân huyện Ngân Sơn, tỉnh Bắc Kạn",OLD,D01.29,"Tòa án nhân dân tỉnh Bắc Kạn",D01.150.08,"Tòa án nhân dân khu vực 8 - Thái Nguyên","Tỉnh Bắc Kạn"
D01.29.08,"Tòa án nhân dân huyện Pác Nặm, tỉnh Bắc Kạn",OLD,D01.29,"Tòa án nhân dân tỉnh Bắc Kạn",D01.150.09,"Tòa án nhân dân khu vực 9 - Thái Nguyên","Tỉnh Bắc Kạn"
D01.30.01,"Tòa án nhân dân thị xã Bạc Liêu, tỉnh Bạc Liêu",OLD,D01.30,"Tòa án nhân dân tỉnh Bạc Liêu",D01.122.06,"Tòa án nhân dân khu vực 6 - Cà Mau","Tỉnh Bạc Liêu"
D01.30.02,"Tòa án nhân dân huyện Đông Hải, tỉnh Bạc Liêu",OLD,D01.30,"Tòa án nhân dân tỉnh Bạc Liêu",D01.122.08,"Tòa án nhân dân khu vực 8 - Cà Mau","Tỉnh Bạc Liêu"
D01.30.03,"Tòa án nhân dân huyện Giá Rai, tỉnh Bạc Liêu",OLD,D01.30,"Tòa án nhân dân tỉnh Bạc Liêu",D01.122.08,"Tòa án nhân dân khu vực 8 - Cà Mau","Tỉnh Bạc Liêu"
D01.30.04,"Tòa án nhân dân huyện Hòa Bình, tỉnh Bạc Liêu",OLD,D01.30,"Tòa án nhân dân tỉnh Bạc Liêu",D01.122.07,"Tòa án nhân dân khu vực 7 - Cà Mau","Tỉnh Bạc Liêu"
D01.30.05,"Tòa án nhân dân huyện Hồng Dân, tỉnh Bạc Liêu",OLD,D01.30,"Tòa án nhân dân tỉnh Bạc Liêu",D01.122.09,"Tòa án nhân dân khu vực 9 - Cà Mau","Tỉnh Bạc Liêu"
D01.30.06,"Tòa án nhân dân huyện Phước Long, tỉnh Bạc Liêu",OLD,D01.30,"Tòa án nhân dân tỉnh Bạc Liêu",D01.122.09,"Tòa án nhân dân khu vực 9 - Cà Mau","Tỉnh Bạc Liêu"
D01.30.07,"Tòa án nhân dân huyện Vĩnh Lợi, tỉnh Bạc Liêu",OLD,D01.30,"Tòa án nhân dân tỉnh Bạc Liêu",D01.122.07,"Tòa án nhân dân khu vực 7 - Cà Mau","Tỉnh Bạc Liêu"
D01.31.01,"Tòa án nhân dân thành phố Bắc Ninh, tỉnh Bắc Ninh",OLD,D01.31,"Tòa án nhân dân tỉnh Bắc Ninh",D01.121.06,"Tòa án nhân dân khu vực 6 - Bắc Ninh","Tỉnh Bắc Ninh"
D01.31.02,"Tòa án nhân dân Thành phố Từ Sơn, tỉnh Bắc Ninh",OLD,D01.31,"Tòa án nhân dân tỉnh Bắc Ninh",D01.121.07,"Tòa án nhân dân khu vực 7 - Bắc Ninh","Tỉnh Bắc Ninh"
D01.31.03,"Tòa án nhân dân huyện Gia Bình, tỉnh Bắc Ninh",OLD,D01.31,"Tòa án nhân dân tỉnh Bắc Ninh",D01.121.09,"Tòa án nhân dân khu vực 9 - Bắc Ninh","Tỉnh Bắc Ninh"
D01.31.04,"Tòa án nhân dân huyện Lương Tài, tỉnh Bắc Ninh",OLD,D01.31,"Tòa án nhân dân tỉnh Bắc Ninh",D01.121.09,"Tòa án nhân dân khu vực 9 - Bắc Ninh","Tỉnh Bắc Ninh"
D01.31.05,"Tòa án nhân dân huyện Quế Võ, tỉnh Bắc Ninh",OLD,D01.31,"Tòa án nhân dân tỉnh Bắc Ninh",D01.121.08,"Tòa án nhân dân khu vực 8 - Bắc Ninh","Tỉnh Bắc Ninh"
D01.31.06,"Tòa án nhân dân huyện Thuận Thành, tỉnh Bắc Ninh",OLD,D01.31,"Tòa án nhân dân tỉnh Bắc Ninh",D01.121.09,"Tòa án nhân dân khu vực 9 - Bắc Ninh","Tỉnh Bắc Ninh"
D01.31.07,"Tòa án nhân dân huyện Tiên Du, tỉnh Bắc Ninh",OLD,D01.31,"Tòa án nhân dân tỉnh Bắc Ninh",D01.121.08,"Tòa án nhân dân khu vực 8 - Bắc Ninh","Tỉnh Bắc Ninh"
D01.31.08,"Tòa án nhân dân huyện Yên Phong, tỉnh Bắc Ninh",OLD,D01.31,"Tòa án nhân dân tỉnh Bắc Ninh",D01.121.07,"Tòa án nhân dân khu vực 7 - Bắc Ninh","Tỉnh Bắc Ninh"
D01.32.01,"Tòa án nhân dân Thành phố Bến Tre, tỉnh Bến Tre",OLD,D01.32,"Tòa án nhân dân tỉnh Bến Tre",D01.153.05,"Tòa án nhân dân khu vực 5 - Vĩnh Long","Tỉnh Bến Tre"
D01.32.02,"Tòa án nhân dân Huyện Ba Tri, tỉnh Bến Tre",OLD,D01.32,"Tòa án nhân dân tỉnh Bến Tre",D01.153.08,"Tòa án nhân dân khu vực 8 - Vĩnh Long","Tỉnh Bến Tre"
D01.32.03,"Tòa án nhân dân Huyện Bình Đại, tỉnh Bến Tre",OLD,D01.32,"Tòa án nhân dân tỉnh Bến Tre",D01.153.08,"Tòa án nhân dân khu vực 8 - Vĩnh Long","Tỉnh Bến Tre"
D01.32.04,"Tòa án nhân dân Huyện Châu Thành, tỉnh Bến Tre",OLD,D01.32,"Tòa án nhân dân tỉnh Bến Tre",D01.153.05,"Tòa án nhân dân khu vực 5 - Vĩnh Long","Tỉnh Bến Tre"
D01.32.05,"Tòa án nhân dân Huyện Chợ Lách, tỉnh Bến Tre",OLD,D01.32,"Tòa án nhân dân tỉnh Bến Tre",D01.153.06,"Tòa án nhân dân khu vực 6 - Vĩnh Long","Tỉnh Bến Tre"
D01.32.06,"Tòa án nhân dân Huyện Giồng Trôm, tỉnh Bến Tre",OLD,D01.32,"Tòa án nhân dân tỉnh Bến Tre",D01.153.07,"Tòa án nhân dân khu vực 7 - Vĩnh Long","Tỉnh Bến Tre"
D01.32.07,"Tòa án nhân dân Huyện Mỏ Cày Bắc, tỉnh Bến Tre",OLD,D01.32,"Tòa án nhân dân tỉnh Bến Tre",D01.153.06,"Tòa án nhân dân khu vực 6 - Vĩnh Long","Tỉnh Bến Tre"
D01.32.08,"Tòa án nhân dân Huyện Mỏ Cày Nam, tỉnh Bến Tre",OLD,D01.32,"Tòa án nhân dân tỉnh Bến Tre",D01.153.09,"Tòa án nhân dân khu vực 9 - Vĩnh Long","Tỉnh Bến Tre"
D01.32.09,"Tòa án nhân dân Huyện Thạnh Phú, tỉnh Bến Tre",OLD,D01.32,"Tòa án nhân dân tỉnh Bến Tre",D01.153.09,"Tòa án nhân dân khu vực 9 - Vĩnh Long","Tỉnh Bến Tre"
D01.33.01,"Tòa án nhân dân thành phố Thủ Dầu Một, tỉnh Bình Dương",OLD,D01.33,"Tòa án nhân dân tỉnh Bình Dương",D01.134.15,"Tòa án nhân dân khu vực 15 - Hồ Chí Minh","Tỉnh Bình Dương"
D01.33.02,"Tòa án nhân dân thị xã Bến Cát, tỉnh Bình Dương",OLD,D01.33,"Tòa án nhân dân tỉnh Bình Dương",D01.134.18,"Tòa án nhân dân khu vực 18 - Hồ Chí Minh","Tỉnh Bình Dương"
D01.33.03,"Tòa án nhân dân thị xã Dĩ An, tỉnh Bình Dương",OLD,D01.33,"Tòa án nhân dân tỉnh Bình Dương",D01.134.16,"Tòa án nhân dân khu vực 16 - Hồ Chí Minh","Tỉnh Bình Dương"
D01.33.04,"Tòa án nhân dân thị xã Tân Uyên, tỉnh Bình Dương",OLD,D01.33,"Tòa án nhân dân tỉnh Bình Dương",D01.134.17,"Tòa án nhân dân khu vực 17 - Hồ Chí Minh","Tỉnh Bình Dương"
D01.33.05,"Tòa án nhân dân thị xã Thuận An, tỉnh Bình Dương",OLD,D01.33,"Tòa án nhân dân tỉnh Bình Dương",D01.134.16,"Tòa án nhân dân khu vực 16 - Hồ Chí Minh","Tỉnh Bình Dương"
